year,CTYNAME,CHN_1,CHN_2,CHN_3,CHN_4,CHN_5,CHN_6,CHN_7,CHN_8,CHN_9,CHN_10,CHN_11,CHN_12,USA_1,USA_2,USA_3,USA_4,USA_5,USA_6,USA_7,USA_8,USA_9,USA_10,USA_11,USA_12
2011,Ukraine,13 ,32 ,26 ,369 ,56 ,1158 ,32 ,179 ,53 ,35 ,69 ,100 ,348 ,691 ,667 ,553 ,386 ,338 ,331 ,592 ,798 ,432 ,500 ,279 
2011,Uzbekistan,49 ,17 ,208 ,407 ,79 ,128 ,77 ,30 ,218 ,34 ,45 ,26 ,77 ,100 ,54 ,46 ,53 ,150 ,124 ,132 ,162 ,463 ,70 ,84 
2011,Singapore,80 ,168 ,207 ,313 ,250 ,600 ,363 ,183 ,210 ,144 ,263 ,135 ,308 ,299 ,449 ,264 ,263 ,544 ,287 ,287 ,462 ,275 ,448 ,206 
2011,Syria,40 ,5 ,83 ,156 ,125 ,325 ,103 ,346 ,211 ,937 ,549 ,360 ,836 ,594 ,1981 ,4762 ,3546 ,2811 ,4709 ,8165 ,2699 ,2938 ,3647 ,3435 
2011,Yemen,99 ,77 ,83 ,37 ,50 ,34 ,95 ,22 ,60 ,73 ,65 ,44 ,1130 ,1336 ,2451 ,1534 ,1726 ,1946 ,1322 ,477 ,1333 ,1862 ,920 ,859 
2011,Iraq,42 ,39 ,41 ,33 ,43 ,92 ,513 ,72 ,82 ,53 ,27 ,60 ,4960 ,3261 ,4076 ,5749 ,4522 ,5042 ,6068 ,5482 ,5932 ,7056 ,5750 ,12175 
2011,Iran,899 ,293 ,261 ,347 ,524 ,717 ,573 ,271 ,449 ,253 ,911 ,496 ,5397 ,4035 ,3043 ,2391 ,3440 ,2937 ,3673 ,3800 ,9232 ,8743 ,6801 ,7818 
2011,Israel,103 ,56 ,178 ,132 ,62 ,322 ,233 ,737 ,220 ,131 ,122 ,52 ,5689 ,4853 ,4745 ,5277 ,10679 ,5641 ,4877 ,4741 ,10821 ,4391 ,5060 ,3427 
2011,India,285 ,200 ,256 ,355 ,178 ,280 ,241 ,136 ,266 ,210 ,421 ,162 ,862 ,962 ,1168 ,1044 ,1641 ,1313 ,1859 ,950 ,1423 ,643 ,780 ,475 
2011,Indonesia,151 ,155 ,185 ,1002 ,567 ,409 ,800 ,186 ,233 ,149 ,742 ,165 ,563 ,565 ,803 ,763 ,862 ,561 ,1681 ,787 ,877 ,745 ,2253 ,474 
